"department","class number","dept and classnumber combined","course name","description","prerequisites classes"
"BENG","133","BENG-133","Numerical Analysis and Computational Engineering","Principles of digital computing, including number representation and arithmetic operations. Accuracy, stability, and convergence. Algorithms for solving linear systems of equations, interpolation, numerical differentiation, and integration and ordinary differential equations. (F)","MATH 20D, MATH 18 or MATH 31AH"
"BENG","134","BENG-134","Measurements, Statistics, and Probability","A combined lecture and laboratory course that provides an introductory treatment of probability theory, including distribution functions, moments, and random variables. Practical applications include estimation of means and variances, hypothesis testing, sampling theory, and linear regression. (S)","MATH 20D, MATH 18 or MATH 31AH, BENG 100"
"BENG","135","BENG-135","Biomedical Signals and Systems","Discrete systems: linearity, convolution, impulse, and step responses. Linear systems properties. Difference equations. Fourier Series. Continuous FS. Discrete FS. Periodic signals, filtering, and FT. Discrete FT examples. Frequency response of linear systems. Sampling. Relationship between FT, DFT. Laplace Transform. LT and inverse LT. (F)","ECE 45, MAE 40"
"BENG","140A","BENG-140A","Bioengineering Physiology","Introductory mammalian physiology for bioengineering students, with emphasis on control mechanisms and engineering principles. Basic cell functions; biological control systems; muscle; neural; endocrine, and circulatory systems. Not intended for premedical bioengineering students. Credit not allowed for both BIPN 100 or BIPN 100R and BENG 140A. (W)","CHEM 6A, CHEM 6B, PHYS 2A, PHYS 2B, PHYS 2C, BILD 1 or BENG 102"
"BENG","140B","BENG-140B","Bioengineering Physiology","Introductory mammalian physiology for bioengineering students, with emphasis on control mechanisms and engineering principles. Digestive, respiratory, renal, and reproductive systems; regulation of metabolism, and defense mechanisms. (Credit not allowed for both BIPN 102 and BENG 140B.) (S)","CHEM 6A or CHEM 6AH, PHYS 2A or PHYS 2AR, PHYS 2B, BILD 1 or BENG 102"
"BENG","141","BENG-141","Biomedical Optics and Imaging","Introduction to optics. Light propagation in tissue. Propagation modeling. Optical components. Laser concepts. Optical coherence tomography. Microscopic scattering. Tissue optics. Microscopy. Confocal microscopy. Polarization in tissue. Absorption, diffuse reflection, light scattering spectroscopy. Raman, fluorescence lifetime imaging. Photo-acoustic imaging. (F)","PHYS 2C"
"BENG","152","BENG-152","Biosystems Engineering Laboratory","Laboratory course emphasizing electronic instrumentation and signals. Projects involve biophysical measurement, data acquisition, and data processing. Laboratory examples include electrical circuit design and analysis, physiological signal acquisition and processing, and microcontrollers for system control. Program or materials fees may apply. (W)","MAE 40 or ECE 35"
"BENG","160","BENG-160","Chemical and Molecular Bioengineering Techniques","Introductory laboratory course in current principles and techniques of chemistry and molecular biology applicable to bioengineering. Quantitation of proteins and nucleic acids by spectrophotometric, immunological, and enzymatic methods. Separations and purification by centrifugation, chromatographic, and electrophoretic methods. Course materials fees may apply. (S)","BICD 100, BENG 100, CHEM 40B or CHEM 40BH or BENG 120, MAE 170"
"BENG","161A","BENG-161A","Bioreactor Engineering","Engineering, biochemical, and physiological considerations in the design of bioreactor processes: enzyme kinetics, mass transfer limitations, microbial growth, and product formation kinetics. Fermentation reactor selection, design, scale-up, control. Quantitative bioengineering analysis and design of biochemical processes and experiments on biomolecules. (F)","MATH 20D, BENG 103B"
"BENG","161B","BENG-161B","Biochemical Engineering","Commercial production of biochemical commodity products. Application of genetic control systems and mutant populations. Recombinant DNA and eukaryotic proteins in E. coli and other host organisms. Product recovery operations, including the design of bioseparation processes of filtration, adsorption, chromatography, and crystallization. Bioprocess economics. Human recombinant erythropoietin as an example, from genomic cloning to CHO cell expression, to bioreactor manufacturing and purification of medical products for clinical application. (W)","MATH 20D, BENG 103B, BENG 160"
"BENG","162","BENG-162","Biotechnology Laboratory","Laboratory practices and design principles for biotechnology. Culture of microorganisms and mammalian cells, recombinant DNA bioreactor design and operation. Design and implementation of biosensors. A team design-based term project and oral presentation required. Course materials fees may apply. (F)","BENG 160"
"BENG","166A","BENG-166A","Cell and Tissue Engineering","Engineering analysis of physico-chemical rate processes that affect, limit, and govern the function of cells and tissues. Cell migration, mitosis, apoptosis, and differentiation. Dynamic and structural interactions between mesenchyme and parenchyme. The role of the tissue microenvironment including cell-cell interactions, extracellular matrix, and growth factor communication. The design of functional tissue substitutes including cell and material sourcing, scale-up and manufacturability, efficacy and safety, regulatory, and ethical topics. Clinical applications. (F)","BILD 1, CHEM 6C or CHEM 6CH or CHEM 7L or CHEM 7LM, MATH 20D, PHYS 2A or PHYS 2AR, PHYS 2B, PHYS 2C"
"BENG","168","BENG-168","Biomolecular Engineering","Basic molecular biology and recombinant DNA technologies. Structure and function of biomolecules that decode genomes and perform energy conversion, enzymatic catalysis, and active transport. Metabolism of macromolecules. Molecular diagnostics. Design, engineering, and manufacture of proteins, genomes, cells, and biomolecular therapies. (W)","BILD 1"
"BENG","172","BENG-172","Bioengineering Laboratory","A laboratory course demonstrating basic concepts of biomechanics, bioengineering design, and experimental procedures involving animal tissue. Sources of error and experimental limitations. Computer data acquisition, modeling, statistical analysis. Experiments on artery, muscle and heart mechanics, action potentials, viscoelasticity, electrocardiography, hemorheology. Course materials fees may apply. (S)","MAE 170"
"BENG","181","BENG-181","Molecular Sequence Analysis","(Cross-listed as BIMM 181 and CSE 181.) This course covers the analysis of nucleic acid and protein sequences, with an emphasis on the application of algorithms to biological problems. Topics include sequence alignments, database searching, comparative genomics, and phylogenetic and clustering analyses. Pairwise alignment, multiple alignment, DNA sequencing, scoring functions, fast database search, comparative genomics, clustering, phylogenetic trees, gene finding/DNA statistics. (W)","CSE 100, CSE 101, BIMM 100 or CHEM 114C"
"BENG","182","BENG-182","Biological Databases","(Cross-listed as BIMM 182, CSE 182, and CHEM 182.) This course provides an introduction to the features of biological data, how those data are organized efficiently in databases, and how existing data resources can be utilized to solve a variety of biological problems. Object-oriented databases, data modeling, and data description. Survey of current biological database with respect to above; implementation of database focused on a biological topic. (S)","CSE 100"
"BENG","183","BENG-183","Applied Genomic Technologies","Principles and technologies for using genomic information for biomedical applications. Technologies will be introduced progressively, from DNA to RNA to protein to whole cell systems. The integration of biology, chemistry, engineering, and computation will be stressed. Topics include technology for the genome, DNA chips, RNA technologies, proteomic technologies, aphysiomic and phenomic technologies, and analysis of cell function. (F)","BIMM 100 or CHEM 114C"
"BENG","186A","BENG-186A","Principles of Biomaterials Design","Fundamentals of materials science as applied to bioengineering design. Natural and synthetic polymeric materials. Materials characterization and design. Wound repair, blood clotting, foreign body response, transplantation biology, biocompatibility of materials, tissue engineering. Artificial organs and medical devices. Government regulations. Patenting. Economic impact. Ethical issues. A term project and oral presentation are required. (S)","BILD 1, BENG 130, PHYS 2A or PHYS 2AR"
"BENG","186B","BENG-186B","Principles of Bioinstrumentation Design","Biophysical phenomena, transducers, and electronics as related to the design of biomedical instrumentation. Potentiometric and amperometric signals and amplifiers. Biopotentials, membrane potentials, chemical sensors. Electrical safety. Mechanical transducers for displacement, force, and pressure. Temperature sensors. Flow sensors. Light-based instrumentation. (W)","ECE 35 or MAE 40"
"BENG","187A","BENG-187A","Bioengineering Design Project: Planning","General engineering design topics including project planning and design objectives, background research, engineering needs assessment, technical design specifications, engineering standards, and design requirements and constraints. Introduction to biomedical and biotechnology design projects. Career and professional advising. Majors must enroll in the course for a letter grade in order to count the sequence toward the major. No exceptions will be approved. (S)","BENG 112A or BENG 152 or BENG 168 or BENG 181"
"BENG","187B","BENG-187B","Bioengineering Design Project: Development","Development of an original bioengineering design for solution of a problem in biology or medicine. Analysis of economic issues, manufacturing and quality assurance, ethics, safety, design constraints, government regulations, and patent requirements. Oral presentation and formal engineering reports. Career and professional advising. Majors must enroll in the course for a letter grade in order to count the sequence toward the major. No exceptions will be approved. (F)","BENG 187A"
"BENG","187C","BENG-187C","Bioengineering Design Project: Implementation","Approaches to implementation of senior design project, including final report. Teams will report on construction of prototypes, conduct of testing, collection of data, and assessment of reliability and failure. Majors must enroll in the course for a letter grade in order to count the sequence toward the major. No exceptions will be approved. (W)","BENG 187B"
"BENG","187D","BENG-187D","Bioengineering Design Project: Presentation","Oral presentations of design projects, including design, development, and implementation strategies and results of prototype testing. Majors must enroll in the course for a letter grade in order to count the sequence toward the major. No exceptions will be approved. (S)","BENG 187C"
"BENG","188A","BENG-188A","Design Development in Bioengineering","Development of design project in bioengineering. (F)","BENG 187A"
"BENG","188B","BENG-188B","Design Implementation in Bioengineering","Implementation of design project in bioengineering. (W)","BENG 188A"
"BENG","189","BENG-189","Physiological Systems Engineering","Quantitative description of physiological systems, e.g., electrical and mechanical properties of muscle (skeletal and cardiac). Modeling and simulation of properties. Kidney, transport, and models. Neural circuits and models. (W)","BENG 133, BENG 134, BENG 135, BENG 140A, BENG 140B"
"BENG","190","BENG-190","Special Topics in Bioengineering","Course given at the discretion of the faculty on current topics of interest in bioengineering. (F,W,S)","none"
"BENG","190L","BENG-190L","Special Topics in Bioengineering with Laboratory","Course given at the discretion of the faculty on current topics of interest in bioengineering. This course is intended to be a lecture and lab component special topics course. This course will cover topics from biomechanics, biosystems, bioinformatics, and biotechnology among others. (F,W,S)","none"
"BENG","191","BENG-191","Senior Seminar I: Professional Issues in Bioengineering","(Conjoined with BENG 291.) Instills skills for personal and organizational development during lifelong learning. Student prepares portfolio of personal attributes and experiences, prepares for career interviews plus oral report of interviewing organizational CEO. Graduate students will prepare a NIH small business research grant. (W)","none"
"BENG","193","BENG-193","Clinical Experience in Bioengineering","Introduction on the integration of bioengineering and clinical medicine through lectures and rotations with clinical faculty. Students will work with clinical mentors and course faculty to identify areas where engineering can improve diagnostics, clinical practice, and/or treatment. May be coscheduled with BENG 294C. (S)","BENG 140A or BIPN 100, BENG 140B or BIPN 102"
"BENG","195P","BENG-195P","Pedagogy and Learning Apprenticeship","Under the supervision of an instructor, undergraduate students gain teaching experience through practical experiences in course management and effective teaching methods. (P/NP grades only.) (F,W,S)","none"
"BENG","196","BENG-196","Bioengineering Industrial Internship","Under the joint supervision of a faculty adviser and industry mentor, the student will work at or be mentored at a bioengineering industrial company to gain practical bioengineering experience, summarized in a technical report. May be taken for credit up to three times. With department approval, four units of credit may substitute for a technical elective. (P/NP grades only.) (F,W,S,Su)","none"
"BENG","197","BENG-197","Engineering Internship","An enrichment program, available to a limited number of undergraduate students, which provides work experience with industry, government offices, hospitals, and their practices. Subject to the availability of positions, students will work in a local industry or hospital (on a salaried or unsalaried basis) under the supervision of a faculty member and industrial, government, or hospital employee. Prior department approval and final report are required. Units may not be applied toward major graduation requirements. (F,W,S,Su)","none"
"BENG","198","BENG-198","Directed Group Study","Directed group study, on a topic or in a field not included in the regular department curriculum, by arrangement with a bioengineering faculty member. (P/NP grades only.) (F,W,S)","none"
"BENG","199","BENG-199","Independent Study for Undergraduates","Independent reading or research by arrangement with a bioengineering faculty member. May be taken for credit three times. (P/NP grades only.) (F,W,S,Su)","none"
"ECE","005","ECE-005","Introduction to Electrical and Computer Engineering","An introduction to electrical and computer engineering. Topics include circuit theory, assembly, and testing, embedded systems programming and debugging, transducer mechanisms and interfacing transducers, signals and systems theory, digital signal processing, and modular design techniques.","none"
"ECE","015","ECE-015","Engineering Computation: Introduction to Programming in C","Students learn the fundamentals of programming through the C programming language. The course covers foundational universal programming concepts such as control and data structures, and top-down modular design. It also focuses on core building blocks of the C language, such as pointers and memory management. Recommended preparation: A familiarity with basic mathematics such as trigonometry functions and graphing is expected but this course assumes no prior programming knowledge.","none"
"ECE","016","ECE-016","Rapid Hardware and Software Design for Interfacing with the World","Students are introduced to embedded systems concepts with structured development of a computer controller based on electromyogram (EMG) signals through four lab assignments through the quarter. Key concepts include sampling, signal processing, communication, and real-time control. Students will apply their prior knowledge to program microcontrollers and will engage in data analysis using the Python programming language. Students may not receive credit for ECE 16 and ECE 116.","CSE 8B or CSE 11 or ECE 15 or MAE 8"
"ECE","017","ECE-017","Object-Oriented Programming: Design and Development with C++","This course combines the fundamentals of object-oriented design in C++, with the programming, debugging, and testing practices used by modern software developers. Emphasizes the use of object-oriented techniques to model and reason about system design, and using modern C++ idioms, design patterns, and the Standard Template Library (STL) to develop solutions to systems engineering challenges that are more reliable, robust, scalable, and secure.","CSE 8B or CSE 11 or ECE 15"
"ECE","018","ECE-018","Programming in Python and Object-Oriented Principles","This course covers the fundamentals of the Python programming language, combined with a study of commonly used Python modules and modern software development techniques. It emphasizes the use of Python as both a scripting language and an important general purpose programming language in fields such as data science. It also covers the object-oriented approach to developing Python programs, and a general introduction to object-oriented design principles.","CSE 8B or CSE 11 or ECE 15"
"ECE","025","ECE-025","Introduction to Digital Design","This course emphasizes digital electronics. Principles introduced in lectures are used in laboratory assignments, which also serve to introduce experimental and design methods. Topics include Boolean algebra, combination and sequential logic, gates and their implementation in digital circuits. (Course materials and/or program fees may apply.)","none"
"ECE","030","ECE-030","Introduction to Computer Engineering","The fundamentals of both the hardware and software in a computer system. Topics include representation of information, computer organization and design, assembly and microprogramming, current technology in logic design.","ECE 15, ECE 25"
"ECE","035","ECE-035","Introduction to Analog Design","Fundamental circuit theory concepts, Kirchhoffs voltage and current laws, Thevenins and Nortons theorems, loop and node analysis, time-varying signals, transient first order circuits, steady-state sinusoidal response. It is highly recommended taking MATH 20C and PHYS 2B prior or during the same quarter. Program or materials fees may apply.","MATH 18, MATH 20A, MATH 20B, PHYS 2A"
"ECE","045","ECE-045","Circuits and Systems","Steady-state circuit analysis, first and second order systems, Fourier Series and Transforms, time domain analysis, convolution, transient response, Laplace Transform, and filter design.","ECE 35"
"ECE","065","ECE-065","Components and Circuits Laboratory","Introduction to linear and nonlinear components and circuits. Topics will include two terminal devices, bipolar and field-effect transistors, and large and small signal analysis of diode and transistor circuits. Program or materials fees may apply.","ECE 5, ECE 35"
"ECE","085","ECE-085","iTunes 101: A Survey of Information Technology","Topics include how devices such as iPods and iPhones generate, transmit, receive, and process information (music, images, video, etc.), the relationship between technology and issues such as privacy and net neutrality, and current topics related to information technology.","none"
"ECE","087","ECE-087","First-year Student Seminar","The First-year Student Seminar program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.","none"
"ECE","090","ECE-090","Undergraduate Seminar","This seminar class will provide a broad review of current research topics in both electrical engineering and computer engineering. Typical subject areas are signal processing, VLSI design, electronic materials and devices, radio astronomy, communications, and optical computing.","none"
"ECE","100","ECE-100","Linear Electronic Systems","Linear active circuit and system design. Topics include frequency response; use of Laplace transforms; design and stability of filters using operational amplifiers. Integrated lab and lecture involves analysis, design, simulation, and testing of circuits and systems. Program or materials fees may apply.","MATH 20D, ECE 45, ECE 65"
"ECE","101","ECE-101","Linear Systems Fundamentals","Complex variables. Singularities and residues. Signal and system analysis in continuous and discrete time. Fourier series and transforms. Laplace and z-transforms. Linear Time Invariant Systems. Impulse response, frequency response, and transfer functions. Poles and zeros. Stability. Convolution. Sampling. Aliasing.","ECE 45"
"ECE","102","ECE-102","Introduction to Active Circuit Design","Nonlinear active circuits design. Nonlinear device models for diodes, bipolar and field-effect transistors. Linearization of device models and small-signal equivalent circuits. Circuit designs will be simulated by computer and tested in the laboratory.","ECE 65, ECE 100"
"ECE","103","ECE-103","Fundamentals of Devices and Materials","Introduction to semiconductor materials and devices. Semiconductor crystal structure, energy bands, doping, carrier statistics, drift and diffusion, p-n junctions, metal-semiconductor junctions. Bipolar junction transistors: current flow, amplification, switching, nonideal behavior. Metal-oxide-semiconductor structures, MOSFETs, device scaling.","ECE 65, PHYS 2D or PHYS 4D, PHYS 4E"
"ECE","107","ECE-107","Electromagnetism","Electrostatics and magnetostatics; electrodynamics; Maxwell’s equations; plane waves; skin effect. Electromagnetics of transmission lines: reflection and transmission at discontinuities, Smith chart, pulse propagation, dispersion. Rectangular waveguides. Dielectric and magnetic properties of materials. Electromagnetics of circuits.","MATH 20D, MATH 20E, PHYS 2A or PHYS 4A, PHYS 2B or PHYS 4B, PHYS 2C or PHYS 4C, ECE 45"
"ECE","108","ECE-108","Digital Circuits","A transistor-level view of digital integrated circuits. CMOS combinational logic, ratioed logic, noise margins, rise and fall delays, power dissipation, transmission gates. Short channel MOS model, effects on scaling. Sequential circuits, memory and array logic circuits. Three hours of lecture, one hour of discussion, three hours of laboratory. Students may not receive credit for both ECE 108 and ECE 165.","ECE 25 or CSE 140, ECE 45, ECE 30 or CSE 30"
"ECE","109","ECE-109","Engineering Probability and Statistics","Axioms of probability, conditional probability, theorem of total probability, random variables, densities, expected values, characteristic functions, transformation of random variables, central limit theorem. Random number generation, engineering reliability, elements of estimation, random sampling, sampling distributions, tests for hypothesis. One unit of credit given if taken after MAE 108, MATH 180A, MATH 180B, MATH 183, MATH 186, or ECON 120A.","MATH 20A, MATH 20B, MATH 20C or MATH 31BH"
"ECE","111","ECE-111","Advanced Digital Design Project","Advanced topics in digital circuits and systems. Use of computers and design automation tools. Hazard elimination, synchronous/asynchronous FSM synthesis, synchronization and arbitration, pipelining and timing issues. Problem sets and design exercises. A large-scale design project. Simulation and/or rapid prototyping.","ECE 25 or CSE 140"
"ECE","115","ECE-115","Fast Prototyping","Lab-based course. Students will learn how to prototype a mechatronic solution. Topics include cheap/accessible materials and parts; suppliers; fast prototyping techniques; useful electronic sketches and system integration shortcuts. Students will learn to materialize their electromechanical ideas and make design decisions to minimize cost, improve functionality/robustness. Labs will culminate toward a fully functional robot prototype for demonstration. Program or materials fees may apply.","ECE 65"
"ECE","116","ECE-116","Advanced Hardware and Software Design","In this hands-on course, students are introduced to the basic concepts of practical embedded system design. It covers concepts from microprocessors, signal processing, communication, data science, and programming. Students learn to apply their foundational knowledge in a set of design challenges and a final project. The course is heavily focused on system building and learning through practice. Students may not receive credit for ECE 116 and ECE 16.","CSE 8B or CSE 11 or ECE 15 or MAE 8, ECE 5, ECE 18"
"ECE","118","ECE-118","Computer Interfacing","Interfacing computers and embedded controllers to the real world: busses, interrupts, DMA, memory mapping, concurrency, digital I/O, standards for serial and parallel communications, A/D, D/A, sensors, signal conditioning, video, and closed loop control. Students design and construct an interfacing project. (Course materials and/or program fees may apply.)","ECE 30 or CSE 30, ECE 35, ECE 45, ECE 65"
"ECE","121A","ECE-121A","Power Systems Analysis and Fundamentals","This course introduces concepts of large-scale power system analysis: electric power generation, distribution, steady-state analysis and economic operation. It provides the fundamentals for advanced courses and engineering practice on electric power systems, smart grid, and electricity economics. The course requires implementing some of the computational techniques in simulation software.","ECE 35"
"ECE","121B","ECE-121B","Energy Conversion","Principles of electro-mechanical energy conversion, balanced three-phase systems, fundamental concepts of magnetic circuits, single-phase transformers, and the steady-state performance of DC and induction machines. Students may not receive credit for both ECE 121B and ECE 121.","ECE 121A"
"ECE","123","ECE-123","Antenna Systems Engineering","The electromagnetic and systems engineering of radio antennas for terrestrial wireless and satellite communications. Antenna impedance, beam pattern, gain, and polarization. Dipoles, monopoles, paraboloids, phased arrays. Power and noise budgets for communication links. Atmospheric propagation and multipath.","ECE 107"
"ECE","124","ECE-124","Motor Drives","Topics include the operation of DC motor and induction machine drives in steady state and speed control of DC and induction motor drives in an energy efficient manner using power electronics. Control techniques such as vector control and direct torque control (DTC) of induction machines. Different control methods for direct current motors using different types of power converters, such as DC-DC and AC-DC converters. Design torque, speed, and position controller of DC motor drive.","ECE 121B, ECE 125A"
"ECE","125A","ECE-125A","Introduction to Power Electronics I","Power generation, system, and electronics. Topics include power semiconductor devices and characteristics, single-phase and three-phase half and full controlled AC-to-DC rectifiers, nonisolated/isolated DC-DC converters, power loss calculation, and thermal considerations, Snubber circuits.","ECE 121A"
"ECE","125B","ECE-125B","Introduction to Power Electronics II","Design and control of DC-DC converters, PWM rectifiers, single-phase and three-phase inverters, power management, and power electronics applications in renewable energy systems, motion control, and lighting.","ECE 125A"
"ECE","128A","ECE-128A","Real World Power Grid Operation","Provides practical insights into the operation of the power grid. Covers the same subjects that actual power system operators’ certification course covers. It systematically describes the vital grid operators functions and the processes required to operate the system. Uses actual case histories, and real examples of best in-class approaches from across the nation and the globe. Presents the problems encountered by operators and the enabling solutions to remedy them.","none"
"ECE","128B","ECE-128B","Renewable Energy and Power Grid Modernization","In-depth coverage of the future power grids. Covers the practical aspects of the technologies, their design and system implementation. Topics include the changing nature of the grid with renewable resources, smart meters, synchrophasors (PMU), microgrids, distributed energy resources, and the associated information and communications infrastructures. Presents actual examples and best practices. Students will be provided with various tools.","none"
"ECE","128C","ECE-128C","Power Grid Resiliency to Adverse Effects","This course offers unique insight and practical answers through examples, of how power systems can be affected by weather and what/how countermeasures can be applied to mitigate them to make the system more resilient. Detailed explanations of the impacts of extreme weather and applicable industry standards and initiatives. Proven practices for successful restoration of the power grid, increased system resiliency, and ride-through after extreme weather providing real examples from around the globe.","none"
"ECE","129","ECE-129","Renewable and Energy Storage Resources","Provides a solid foundation to renewable energy resources such as hydroelectric, solar, wind, geothermal, wave, and tidal. Energy grid storage systems. Presents lessons learned from actual systems and study of renewable energy resources and energy storage systems. Presents lessons learned from actual systems and results of detailed studies on the applications of renewable energy resources and energy storage systems. Industry tools for hands-on experience with such resources and systems will be provided.","none"
"ECE","134","ECE-134","Electronic Materials Science of Integrated Circuits","Electronic materials science with emphasis on topics pertinent to microelectronics and VLSI technology. Concept of the course is to use components in integrated circuits to discuss structure, thermodynamics, reaction kinetics, and electrical properties of materials.","PHYS 2C, PHYS 2D"
"ECE","135A","ECE-135A","Semiconductor Physics","Crystal structure and quantum theory of solids; electronic band structure; review of carrier statistics, drift and diffusion, p-n junctions; nonequilibrium carriers, imrefs, traps, recombination, etc.; metal-semiconductor junctions and heterojunctions.","ECE 103"
"ECE","135B","ECE-135B","Electronic Devices","Structure and operation of bipolar junction transistors, junction field-effect transistors, metal-oxide-semiconductor diodes and transistors. Analysis of dc and ac characteristics. Charge control model of dynamic behavior.","ECE 135A"
"ECE","136L","ECE-136L","Microelectronics Laboratory","Laboratory fabrication of diodes and field-effect transistors covering photolithography, oxidation, diffusion, thin film deposition, etching and evaluation of devices. (Course materials and/or program fees may apply.)","ECE 135B"
"ECE","138L","ECE-138L","Microstructuring Processing Technology Laboratory","A laboratory course covering the concept and practice of microstructuring science and technology in fabricating devices relevant to sensors, lab-chips and related devices. (Course materials and/or program fees may apply.)","none"
"ECE","139","ECE-139","Semiconductor Device Design and Modeling","This course is designed to provide a general background of semiconductor material, semiconductor device, circuit modeling and design based on fundamental physics, semiconductor physics, and device physics. Acquire the fundamental knowledge and technique to use material, device, mixed-mode, and circuit simulations. Recommended preparation: ECE 135A-B.","none"
"ECE","140A","ECE-140A","The Art of Product Engineering I","Building on a solid foundation of electrical and computer engineer skills, this course strives to broaden student skills in software, full-stack engineering, and concrete understanding of methods related to the realistic development of a commercial product. Students will research, design, and develop an IOT device to serve an emerging market.","CSE 8B or CSE 11 or ECE 15"
"ECE","140B","ECE-140B","The Art of Product Engineering II","Building on a solid foundation of electrical and computer engineer skills, this course strives to broaden student skills in software, full-stack engineering, and concrete understanding of methods related to the realistic development of a commercial product. Students will research, design, and develop an IOT device to serve an emerging market.","ECE 140A"
"ECE","141A","ECE-141A","Software Foundations I","Software analysis, design, and development. Data structures, algorithms, and design and development idioms in C++. Students will gain broad experience using object-oriented methods and design patterns. Through increasingly difficult challenges, students will gain valuable real-world experience building, testing, and debugging software, and develop a robust mental model of modern software design and architecture.","ECE 17, CSE 30 or ECE 30"
"ECE","141B","ECE-141B","Software Foundations II","ECE 141B builds upon the solid C++ foundation of ECE 141A. Students will model and build a working database management solution in C++. Topics include STL, design patterns, parsing, searching and sorting, algorithmic thinking, and design partitioning. The course will continue to explore best practices in software development, debugging, and testing.","ECE 141A"
"ECE","143","ECE-143","Programming for Data Analysis","This course covers the fundamentals of using the Python language effectively for data analysis. Students learn the underlying mechanics and implementation specifics of Python and how to effectively utilize the many built-in data structures and algorithms. The course introduces key modules for data analysis such as Numpy, Pandas, and Matplotlib. Participants learn to leverage and navigate the vast Python ecosystem to find codes and communities of individual interest.","ECE 16"
"ECE","144","ECE-144","LabVIEW Programming: Design and Applications","Develop, debug, and test LabVIEW VIs, solve problems using LabVIEW, use data acquisition, and perform signal processing and instrument control in LabVIEW applications. Groups of students will build an elevator system from laser-cut and 3-D printed parts; integrate sensors, motors, and servos; and program using state-machine architecture in LabVIEW. Students will have the opportunity to take the National Instruments Certified LabVIEW Associate Developer (CLAD) exam at the end of the quarter. Program or materials fees may apply.","CSE 11 or CSE 8B or ECE 15"
"ECE","145AL-BL-CL","ECE-145AL-BL-CL","Acoustics Laboratory","Automated laboratory based on H-P GPIB controlled instruments. Software controlled data collection and analysis. Vibrations and waves in strings and bars of electromechanical systems and transducers. Transmissions, reflection, and scattering of sound waves in air and water. Aural and visual detection.","ECE 107"
"ECE","148","ECE-148","Introduction to Autonomous Vehicles","This course introduces students to the fundamentals of autonomous vehicles using an accelerated and engaging engineering curriculum leveraging the educational benefits of robotics coopertition (cooperative competition). Students work in small teams building scale cars utilizing best engineering practices. Skills to be learned include fast prototyping, project management, traditional programming, and computer vision using Robot Operating System (ROS) and artificial intelligence deep learning. Cross-listed with MAE 148. Students may not receive credit for ECE 148 and MAE 148. Program or materials fees may apply.","ECE 15 or ECE 35 or MAE 2 or MAE 3"
"ECE","150","ECE-150","Entrepreneurship for Engineers","A foundation course teaching the basics of starting and running a successful new business. Students learn how to think like entrepreneurs, pivot their ideas to match customer needs, and assess financial, market, and timeline feasibility. The end goal is an investor pitch and a business plan. Provides experiential education, encouragement, and coaching (“E3CE”) that prepares students for successful careers at start-up as well as large companies. Students may not receive credit for both ECE 150 and CSE 175. Counts toward one professional elective only.","none"
"ECE","153","ECE-153","Probability and Random Processes for Engineers","Random processes. Stationary processes: correlation, power spectral density. Gaussian processes and linear transformation of Gaussian processes. Point processes. Random noise in linear systems.","ECE 109"
"ECE","155","ECE-155","Digital Communications Theory","Design and performance analysis of digital modulation techniques, including probability of error results for PSK, DPSK, and FSK. Introduction to effects of intersymbol interference and fading. Detection and estimation theory, including optimal receiver design and maximum-likelihood parameter estimation. Renumbered from ECE 154B. Students may not receive credit for ECE 155 and ECE 154B.","ECE 101 or BENG 122A, ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 180B or MATH 183 or MATH 186, ECE 153"
"ECE","156","ECE-156","Sensor Networks","Characteristics of chemical, biological, seismic, and other physical sensors; signal processing techniques supporting distributed detection of salient events; wireless communication and networking protocols supporting formation of robust sensor fabrics; current experience with low power, low cost sensor deployments. Undergraduate students must take a final exam; graduate students must write a term paper or complete a final project. Cross-listed with MAE 149 and SIO 238.","none"
"ECE","157A","ECE-157A","Communications Systems Laboratory I","Experiments in the modulation and demodulation of baseband and passband signals. Statistical characterization of signals and impairments. (Course materials and/or program fees may apply.)","ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 180B or MATH 183 or MATH 186, ECE 161A"
"ECE","157B","ECE-157B","Communications Systems Laboratory II","Advanced projects in communication systems. Students will plan and implement design projects in the laboratory, updating progress weekly and making plan/design adjustments based upon feedback.","ECE 157A or ECE 161A"
"ECE","158A","ECE-158A","Data Networks I","Layered network architectures, data link control protocols and multiple-access systems, performance analysis. Flow control; prevention of deadlock and throughput degradation. Routing, centralized and decentralized schemes, static dynamic algorithms. Shortest path and minimum average delay algorithms. Comparisons.","ECE 109"
"ECE","158B","ECE-158B","Data Networks II","Layered network architectures, data link control protocols and multiple-access systems, performance analysis. Flow control; prevention of deadlock and throughput degradation. Routing, centralized and decentralized schemes, static dynamic algorithms. Shortest path and minimum average delay algorithms. Comparisons.","ECE 158A"
"ECE","159","ECE-159","Introduction to Data Processing and Information Theory","Introduction to information theory and coding, including entropy, average mutual information, channel capacity, block codes, and convolutional codes. Renumbered from ECE 154C. Students may not receive credit for ECE 159 and ECE 154C.","ECE 153"
